region	lifeMale	lifeFemale	GDPperCapita	maleEmployed	femaleEmployed
1	45.1	47	165	88.9	79.4
1	45.5	48.8	205	90.1	90.6
1	45.5	48.4	77	88.2	86.5
1	45.4	48.7	321	70.2	44.8
1	64.7	67.3	973	73.4	21.6
1	40.3	41.1	142	80.6	75.3
1	67.5	70.3	1531	76.4	7.8
1	48.9	51.7	3640	75.4	41.7
1	65.5	67.5	994	85.1	41.1
1	57.7	62.3	1389	64.3	27.7
1	62.3	68.3	3230	79.6	50.4
2	65.8	70.6	464	84.5	33.4
2	66.5	72.5	1660	79.8	40.6
2	73.4	76.1	2569	79	34
2	68.9	73.1	1508	82.6	42.9
2	65.9	70.9	2497	51.2	33.9
2	72.4	76.8	1779	74	62.4
2	70	75.7	3496	82.1	41.2
2	67.5	72	1860	85.7	26.1
2	72.3	78.3	4736	75.5	34.5
2	74.2	78	1983	72.6	41.2
2	71.5	76.2	4083	75.5	44.9
2	61.1	67.9	726	81.2	39.3
2	73.4	80.1	26037	74.9	59.3
2	70.5	77.1	12545	81.2	67
3	60.9	63.9	11308	74	10.3
3	69.9	73.4	6583	78.8	6.9
3	66.5	71.7	2814	75.9	30.6
3	74.1	78.2	15757	80.1	34.3
3	63.3	67	1019	84.8	51.3
3	71.1	75.3	9073	88.2	29.2
3	73.9	76.5	17690	92.5	24.2
3	70	75.4	14013	93	27.5
3	73.4	78.1	16683	82.2	46.4
3	76.1	81.8	22898	76	47.8
3	66.6	70.2	1093	82.7	49
3	68.8	76	9736	76.1	48.7
3	68.5	76.7	343	75	58
4	71.8	78.9	10428	67	49.2
4	74.6	79.1	8793	74.1	27.4
4	75.5	80.6	8684	64.7	36.1
4	68.1	76.5	4014	64.1	44
4	74.5	81.5	14111	63.1	37
4	66	73.2	1570	72.7	57.4
4	67.8	74.9	1518	60.7	53.8
4	64.5	73.8	4325	61.1	43.4
4	66.7	75.7	3058	66.2	51
4	62.5	74.3	1764	69.8	51.5
4	63.9	75	2433	71.5	54.1
